ID,Name,Length,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Release,Album
08gavXombT6KR0af88i9tA,Jump Then Fall,237066,0.618,0.687,2,-5.737,1,0.0271,0.111,0,0.0693,0.82,79.991,2008,Fearless
2IZ00ed83ygPIiacYScWUE,Untouchable,311040,0.419,0.454,5,-6.809,1,0.0335,0.0583,3.78E-06,0.0974,0.288,200.017,2008,Fearless
46HGgtwmmuEB8mvDCyjyAc,Forever & Always - Piano Version,267506,0.592,0.16,9,-10.785,1,0.0347,0.852,0,0.116,0.294,118.929,2008,Fearless
4pl5zcqCv4vc3cB7M4MZ6f,Come In With The Rain,238106,0.527,0.475,2,-6.205,1,0.0258,0.0868,4.34E-06,0.248,0.224,143.962,2008,Fearless
14Bljc3pOOG0xQX3wqhLN9,SuperStar,261453,0.61,0.531,2,-6.123,1,0.0239,0.367,0,0.351,0.228,85.979,2008,Fearless
0xvsgzM8AtBtRHZm5rav8A,The Other Side Of The Door,237600,0.476,0.816,4,-4.279,1,0.0347,0.169,0,0.238,0.469,163.847,2008,Fearless
3F6czr26ZwGU5O5CHY04Ma,Fearless,242000,0.598,0.714,5,-4.397,1,0.0273,0.0364,1.04E-06,0.31,0.467,99.979,2008,Fearless
3M0w3fhdXByHLCNAoi5c9G,Fifteen,294346,0.559,0.636,7,-4.4,1,0.0263,0.0728,0,0.144,0.214,95.485,2008,Fearless
0kN3oXYWWAk1uC0y2WoyOE,Love Story,235280,0.618,0.736,2,-3.937,1,0.0308,0.157,0,0.073,0.307,118.982,2008,Fearless
6wcFdMmiDscAhZJrcVFumx,Hey Stephen,254320,0.843,0.553,6,-7.348,1,0.0317,0.168,2.66E-06,0.107,0.825,115.997,2008,Fearless
4jPtq9shRdUv8Zjr0a5xkD,White Horse,234440,0.585,0.346,0,-8.014,1,0.0256,0.302,0,0.102,0.195,92.564,2008,Fearless
3as6Wz3mwbTnusWhZjTUNr,You Belong With Me,231146,0.687,0.771,6,-4.424,1,0.0384,0.164,2.46E-05,0.112,0.445,129.964,2008,Fearless
6S9G7J3EB1ZY0rrZPwsBg5,Breathe,263986,0.498,0.486,1,-7.384,1,0.0273,0.373,0,0.113,0.17,147.952,2008,Fearless
4XrP7vKBjKLEYlRZdb0Ygr,Tell Me Why,200560,0.601,0.852,7,-3.096,1,0.0386,0.0606,3.41E-06,0.37,0.513,100.015,2008,Fearless
6HWYtS215rxaaMjvpyG18W,You're Not Sorry,261800,0.459,0.459,6,-4.126,1,0.0275,0.13,2.30E-06,0.113,0.281,134.018,2008,Fearless
77VotUUL79U10TAnYdqwvr,The Way I Loved You,244240,0.436,0.712,5,-3.689,1,0.0329,0.0322,0,0.111,0.379,160.886,2008,Fearless
1zxrcAk6eiytfavqriMcKT,Forever & Always,225333,0.605,0.829,10,-4.993,1,0.0549,0.0907,0,0.106,0.514,128.012,2008,Fearless
5YbZZ2gYfvW1UvHHF4pVaD,The Best Day,245346,0.664,0.447,1,-8.535,1,0.0292,0.611,1.00E-06,0.139,0.364,126.079,2008,Fearless
0RdcBnAXyH2YZZvcBVu2k6,Change,281053,0.548,0.756,5,-4.175,1,0.036,0.00471,0,0.117,0.224,96.038,2008,Fearless
0Om9WAB5RS09L80DyOfTNa,Tim McGraw,232106,0.58,0.491,0,-6.462,1,0.0251,0.575,0,0.121,0.425,76.009,2006,Taylor Swift
32mVHdy0bi1XKgr0ajsBlG,Picture To Burn,173066,0.658,0.877,7,-2.098,1,0.0323,0.173,0,0.0962,0.821,105.586,2006,Taylor Swift
7zMcNqs55Mxer82bvZFkpg,Teardrops On My Guitar - Radio Single Remix,203040,0.621,0.417,10,-6.941,1,0.0231,0.288,0,0.119,0.289,99.953,2006,Taylor Swift
73OX8GdpOeGzKC6OvGSbsv,A Place in this World,199200,0.576,0.777,9,-2.881,1,0.0324,0.051,0,0.32,0.428,115.028,2006,Taylor Swift
7an1exwMnfYRcdVQm0yDev,Cold As You,239013,0.418,0.482,5,-5.769,1,0.0266,0.217,0,0.123,0.261,175.558,2006,Taylor Swift
2QA3IixpRcKyOdG7XDzRgv,The Outside,207106,0.589,0.805,5,-4.055,1,0.0293,0.00491,0,0.24,0.591,112.982,2006,Taylor Swift
6K0CJLVXqbGMeJSmJ4ENKK,Tied Together with a Smile,248106,0.479,0.578,2,-4.963,1,0.0294,0.525,0,0.0841,0.192,146.165,2006,Taylor Swift
2ZoOmCSgj0ypVAmGd1ve4y,Stay Beautiful,236053,0.594,0.629,8,-4.919,1,0.0246,0.0868,0,0.137,0.504,131.597,2006,Taylor Swift
16MVSD0mGI4RMQT83Qzm69,Should've Said No,242200,0.476,0.777,4,-3.771,0,0.0289,0.0103,0,0.196,0.472,167.964,2006,Taylor Swift
2QrQCMel6v2JiLxqrg4p2O,Mary's Song (Oh My My My),213080,0.403,0.627,2,-5.28,1,0.0292,0.0177,0,0.182,0.374,74.9,2006,Taylor Swift
15DeqWWQB4dcEWzJg15VrN,Our Song,201106,0.668,0.672,2,-4.931,1,0.0303,0.111,0,0.329,0.539,89.011,2006,Taylor Swift
0JIdBrXGSJXS72zjF9ss9u,I'm Only Me When I'm With You,213053,0.563,0.934,8,-3.629,1,0.0646,0.00452,0.000807,0.103,0.518,143.964,2006,Taylor Swift
5OOd01o2YS1QFwdpVLds3r,Invisible,203226,0.612,0.394,7,-5.723,1,0.0243,0.637,0,0.147,0.233,96.001,2006,Taylor Swift
1spLfUJxtyVyiKKTegQ2r4,A Perfectly Good Heart,220146,0.483,0.751,4,-5.726,1,0.0365,0.00349,0,0.128,0.268,156.092,2006,Taylor Swift
4pJi1rVt9GNegU9kywjg4z,Teardrops on My Guitar - Pop Version,179066,0.459,0.753,10,-3.827,1,0.0537,0.0402,0,0.0863,0.483,199.997,2006,Taylor Swift
6LZaxlycSWrJZ4Volb25qx,Mine,230706,0.624,0.757,7,-2.94,1,0.0296,0.00265,1.87E-06,0.189,0.658,121.07,2010,Speak Now
1q8E1FfFuhd12c5JcJwPxQ,Sparks Fly,260933,0.605,0.787,5,-3.002,1,0.0308,0.0396,1.42E-06,0.163,0.374,114.987,2010,Speak Now
7lxADouiWFkwR7ZV2GKUcH,Back To December,293026,0.529,0.67,2,-4.663,1,0.0303,0.117,0,0.334,0.286,141.893,2010,Speak Now
1nYWTzy5zu3zEPNgB1sItW,Speak Now,240760,0.709,0.599,7,-3.734,1,0.0304,0.095,0,0.0973,0.735,118.975,2010,Speak Now
1ubvV5ECkm6nSI6g1HmbBK,Dear John,403920,0.589,0.47,4,-5.32,1,0.028,0.166,1.45E-06,0.112,0.102,119.386,2010,Speak Now
4N60XfcTE1ysLZGbYgnYXq,Mean,237733,0.568,0.761,4,-3.987,1,0.0459,0.452,0,0.217,0.789,163.974,2010,Speak Now
19tHCfzUSoy5HkpxcmbA0A,The Story Of Us,265666,0.543,0.818,4,-3.611,1,0.0398,0.00478,0.000368,0.0357,0.683,139.898,2010,Speak Now
74WBGgUnpKrJXt6TETfR6Z,Never Grow Up,290466,0.714,0.305,2,-8.837,1,0.0305,0.819,0,0.174,0.554,124.91,2010,Speak Now
14LtANuaslKWyYbktUrHBU,Enchanted,352186,0.455,0.623,8,-3.878,1,0.0288,0.0739,0.000424,0.146,0.208,163.893,2010,Speak Now
1By2VQkUN0Frd8mKNV5NYC,Better Than Revenge,217160,0.516,0.917,11,-3.186,0,0.0827,0.0139,6.37E-06,0.36,0.635,145.821,2010,Speak Now
3kfgJql90tzgoxByioAMXR,Innocent,302253,0.552,0.608,1,-5.29,0,0.0259,0.186,0,0.125,0.17,134.05,2010,Speak Now
11UaQaEp2LvdspTyyuE3ur,Haunted,242080,0.436,0.95,5,-2.627,1,0.057,0.0826,1.08E-06,0.149,0.352,162.088,2010,Speak Now
1D27z8xNzjW0Mwwt1NCWhJ,Last Kiss,367133,0.371,0.341,10,-9.475,1,0.0319,0.57,3.09E-05,0.101,0.196,89.038,2010,Speak Now
7DjCRhhFo9PPzca1BjMLcf,Long Live,317453,0.418,0.68,7,-4.3,1,0.0347,0.036,7.59E-05,0.114,0.142,204.12,2010,Speak Now
1EQn3Uc5AyUXoiPLeyCrrg,Ours,237920,0.608,0.569,0,-7.227,1,0.0284,0.537,0,0.097,0.238,159.845,2010,Speak Now
0vvt4IZOMkRug195S4MUq0,If This Was A Movie,234546,0.511,0.719,4,-3.457,1,0.0265,0.166,4.54E-06,0.34,0.289,147.852,2010,Speak Now
2R7C9dDqv1UPycvepBFziA,Superman,275960,0.582,0.765,7,-3.648,1,0.0324,0.0268,1.95E-06,0.103,0.559,131.982,2010,Speak Now
6IH2Z54gYPLqgJtxZjX80i,Back To December - Acoustic,292560,0.541,0.453,2,-6.459,1,0.0266,0.748,0,0.2,0.377,141.757,2010,Speak Now
62rlxI6g2PNaWsHoiRryto,Haunted - Acoustic Version,217613,0.563,0.443,5,-5.078,1,0.0247,0.842,0,0.293,0.313,80.962,2010,Speak Now
0fAbfDiuQiUwV7FUcFfRGY,Mine - POP Mix,230333,0.695,0.723,7,-3.806,1,0.0285,0.00727,1.20E-06,0.1,0.679,121.011,2010,Speak Now
5zyCYmiaVE5y26EZuwZbsw,State Of Grace,295186,0.588,0.825,4,-5.882,1,0.0328,0.000197,0.00138,0.0885,0.397,129.968,2012,Red
1RvQQGwaPipiNgz8RXAKA8,Red,220826,0.602,0.896,1,-4.267,0,0.0437,0.0773,8.87E-05,0.091,0.641,124.978,2012,Red
0XfOV7qY3834QpFVwOb6CC,Treacherous,240773,0.705,0.621,2,-8.086,1,0.0334,0.101,4.30E-06,0.147,0.395,109.993,2012,Red
0ciHz919LVKoH4zgxyMPZ9,I Knew You Were Trouble.,217973,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25E-06,0.0398,0.679,77.019,2012,Red
1q3RiD1tIWUpGsNFADMlvl,All Too Well,327893,0.602,0.609,0,-7.803,1,0.0243,0.0382,0.0002,0.127,0.337,93.06,2012,Red
3bIxTsfeNMO7Nt2J3EUKrA,22,230133,0.658,0.729,7,-6.561,1,0.0378,0.00215,0.0013,0.0752,0.668,104.007,2012,Red
31pEV5lPJi7btskZoUr2yu,I Almost Do,242573,0.567,0.481,4,-7.357,1,0.027,0.0173,4.13E-05,0.182,0.233,145.865,2012,Red
1OYARuagDrpgNNQ4loO1Cs,We Are Never Ever Getting Back Together,191880,0.628,0.676,7,-5.911,1,0.0916,0.00957,2.65E-05,0.102,0.75,85.984,2012,Red
1x0J8LFX23d5h1zzuzZorc,Stay Stay Stay,204826,0.729,0.748,0,-6.67,1,0.0245,0.307,1.29E-06,0.09,0.928,99.981,2012,Red
7vvIpJZye5cRR6De1LKM0m,The Last Time,298293,0.505,0.443,2,-7.039,1,0.0276,0.035,3.15E-06,0.0921,0.123,94.069,2012,Red
5d2Kn9oAAh9S2EbyCo1i52,Holy Ground,201853,0.627,0.816,4,-6.698,1,0.0774,0.0162,0.00208,0.0966,0.648,157.043,2012,Red
5QKhg4r4Ibt0LVTmWEXTEg,Sad Beautiful Tragic,283680,0.624,0.34,7,-12.411,1,0.029,0.632,0.0337,0.121,0.261,129.987,2012,Red
2wtHlpYSgC7xEdD3DrSHNL,The Lucky One,240133,0.706,0.499,4,-7.675,1,0.0369,0.0371,0,0.132,0.545,117.937,2012,Red
7gdwoOmi258QJq0hmQ4hto,Everything Has Changed,243933,0.624,0.458,6,-6.755,1,0.0287,0.36,3.89E-06,0.303,0.436,80.017,2012,Red
0vqI4ZIMuifeKeItGiWbPj,Starlight,217826,0.649,0.777,9,-5.804,1,0.0406,0.0213,0.000335,0.221,0.587,126.018,2012,Red
48A0aShHlovDfTMucMrE66,Begin Again,237613,0.53,0.526,7,-8.349,1,0.0263,0.199,3.52E-06,0.232,0.323,79.025,2012,Red
5AsmAjBSSQjRPWgAYIp8tm,The Moment I Knew,285560,0.62,0.506,7,-7.327,1,0.0312,0.187,1.47E-05,0.102,0.275,126.015,2012,Red
4qyalTRMRH5YuEntvvMvq0,Come Back...Be Here,222706,0.483,0.548,4,-6.291,1,0.0254,0.00471,2.01E-06,0.0997,0.217,79.926,2012,Red
6cf6rLb8qcklvJv90W6HCW,Girl At Home,220320,0.733,0.59,5,-5.86,1,0.0284,0.272,0,0.136,0.633,125.048,2012,Red
7BT9K9BDqq6HI2oWH5UMZQ,Treacherous - Original Demo Recording,239720,0.828,0.64,2,-8.248,1,0.0355,0.175,6.14E-05,0.0996,0.519,109.993,2012,Red
33Kq0AT5rvwyE4azisG08x,Welcome To New York,212600,0.789,0.634,7,-4.762,1,0.0323,0.0348,1.64E-06,0.302,0.658,116.992,2014,1989
2sC2P3BN0IXujNaaSyDmtP,Blank Space,231826,0.76,0.703,5,-5.412,1,0.054,0.103,0,0.0913,0.57,95.997,2014,1989
1fo2ctLqj3zBhRQKOXprol,Style,231000,0.588,0.791,7,-5.595,1,0.0402,0.00245,0.00258,0.118,0.487,94.933,2014,1989
6Nde5KuTXyB7jlPO4upaBo,Out Of The Woods,235800,0.553,0.841,7,-6.937,1,0.0396,0.000743,1.19E-05,0.341,0.338,92.008,2014,1989
0lmMtDQ2ElasKU2qDAE6NN,All You Had To Do Was Stay,193293,0.605,0.725,5,-5.729,1,0.0323,0.00201,2.02E-05,0.101,0.539,96.97,2014,1989
3fthfkkvy9av3q3uAGVf7U,Shake It Off,219200,0.647,0.8,7,-5.384,1,0.165,0.0647,0,0.334,0.942,160.078,2014,1989
1B5VzXPqMlvRw0U4HJY3dJ,I Wish You Would,207440,0.653,0.893,0,-5.966,1,0.0538,0.0158,4.95E-05,0.102,0.513,118.035,2014,1989
0yN4fNzmVnmgC0dsOoi9Wh,Bad Blood,211933,0.646,0.794,7,-6.104,1,0.19,0.0885,6.16E-06,0.201,0.287,170.216,2014,1989
106R7Z57WYzBAfrXImV30y,Wildest Dreams,220440,0.55,0.688,8,-7.416,1,0.0897,0.0692,0.00144,0.106,0.465,139.997,2014,1989
6wfugRLamFsTRbPcCpNnP7,How You Get The Girl,247533,0.765,0.656,5,-6.112,1,0.0504,0.00364,0.00868,0.0918,0.545,119.997,2014,1989
1kTPQnabROVkW9bUXdCGrB,This Love,250093,0.481,0.435,4,-8.795,1,0.0321,0.678,0,0.0928,0.107,143.95,2014,1989
2zfgVd034GlUvk7LqBHl6u,I Know Places,195706,0.602,0.755,0,-4.991,1,0.071,0.245,0,0.178,0.495,159.965,2014,1989
4bXCcoesMt8u99xMsbLr9U,Clean,271000,0.815,0.377,4,-7.754,1,0.0346,0.232,0,0.1,0.211,103.97,2014,1989
6iWMI5oOhWrDbLbjmwTWFq,Wonderland,245560,0.422,0.692,3,-5.447,1,0.0549,0.0493,2.57E-05,0.177,0.197,184.014,2014,1989
4A2LfnduSTsE8u0ecYROxE,You Are In Love,267106,0.474,0.48,2,-8.894,1,0.0622,0.707,0.000108,0.0903,0.319,170.109,2014,1989
6rZVy6FIG7lSJQMFXHo12z,New Romantics,230466,0.633,0.889,5,-5.87,1,0.0715,0.00463,0.000458,0.0658,0.584,121.956,2014,1989
4JQm7ebhsrt10wmrP6AfXL,I Know Places - Voice Memo,216333,0.592,0.128,9,-17.932,0,0.589,0.829,0,0.527,0.15,78.828,2014,1989
4TtyvyI42C0KFnbDZvNC8Y,I Wish You Would - Voice Memo,107133,0.781,0.357,0,-16.394,1,0.912,0.717,0,0.185,0.645,118.317,2014,1989
0yisH8r0f3Mkq34kjzUlCV,Blank Space - Voice Memo,131186,0.675,0.234,5,-15.064,0,0.721,0.801,0,0.657,0.578,127.296,2014,1989
2yLa0QULdQr0qAIvVwN6B5,...Ready For It?,208186,0.613,0.764,2,-6.509,1,0.136,0.0527,0,0.197,0.417,160.015,2017,Reputation
2x0WlnmfG39ZuDmstl9xfX,End Game,244826,0.649,0.589,2,-6.237,1,0.0558,0.00845,0,0.108,0.151,159.073,2017,Reputation
4svZDCRz4cJoneBpjpx8DJ,I Did Something Bad,238253,0.696,0.602,0,-6.156,0,0.159,0.0679,2.11E-05,0.0696,0.305,82.989,2017,Reputation
1R0a2iXumgCiFb7HEZ7gUE,Don’t Blame Me,236413,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76E-05,0.0607,0.193,135.917,2017,Reputation
6NFyWDv5CjfwuzoCkw47Xf,Delicate,232253,0.75,0.404,9,-10.178,0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,2017,Reputation
1P17dC1amhFzptugyAO7Il,Look What You Made Me Do,211853,0.766,0.709,9,-6.471,0,0.123,0.204,1.41E-05,0.126,0.506,128.07,2017,Reputation
5PxFv9yJEg9dxvbZggykro,So It Goes...,227906,0.574,0.61,2,-7.283,1,0.0732,0.122,1.10E-06,0.13,0.374,74.957,2017,Reputation
1ZY1PqizIl78geGM4xWlEA,Gorgeous,209680,0.8,0.535,7,-6.684,1,0.135,0.0713,9.48E-06,0.213,0.451,92.027,2017,Reputation
0VE4kBnHJUgtMf0dy6DRmW,Getaway Car,233626,0.562,0.689,2,-6.745,1,0.127,0.00465,2.23E-06,0.0888,0.351,172.054,2017,Reputation
7HuBDWi18s4aJM8UFnNheH,King Of My Heart,214320,0.675,0.703,0,-7.902,1,0.0382,0.00882,2.21E-06,0.0391,0.314,110.01,2017,Reputation
7I7JbDv63ZJJsSi24DyJrz,Dancing With Our Hands Tied,211506,0.624,0.691,0,-6.686,0,0.196,0.0604,1.10E-05,0.138,0.284,160.024,2017,Reputation
6oVxXO5oQ4pTpO8RSnkzvv,Dress,230373,0.719,0.469,0,-8.792,1,0.0533,0.0329,0,0.169,0.0851,120.085,2017,Reputation
07NxDD1iKCHbAldceD7QLP,This Is Why We Can't Have Nice Things,207133,0.567,0.789,5,-5.986,1,0.115,0.0156,0,0.382,0.438,163.96,2017,Reputation
1GwMQaZz6Au3QLDbjbMdme,Call It What You Want,203506,0.598,0.504,9,-9.874,1,0.0731,0.186,0.000221,0.34,0.252,163.954,2017,Reputation
7F5oktn5YOsR9eR5YsFtqb,New Year’s Day,235466,0.661,0.151,0,-12.864,1,0.0354,0.921,0,0.13,0.23,94.922,2017,Reputation
43rA71bccXFGD4C8GOpIlN,I Forgot That You Existed,170640,0.664,0.316,5,-10.345,1,0.519,0.298,2.03E-06,0.0812,0.541,92.875,2019,Lover
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,178426,0.552,0.702,9,-5.707,1,0.157,0.117,2.06E-05,0.105,0.564,169.994,2019,Lover
1dGr1c8CrMLDpV6mPbImSI,Lover,221306,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58E-05,0.118,0.453,68.534,2019,Lover
3RauEVgRgj1IuWdJ9fDs70,The Man,190360,0.777,0.658,0,-5.191,1,0.054,0.0767,0,0.0901,0.633,110.048,2019,Lover
3pHkh7d0lzM2AldUtz2x37,The Archer,211240,0.292,0.574,0,-9.375,1,0.0401,0.12,0.00569,0.0663,0.166,124.344,2019,Lover
2YWtcWi3a83pdEg3Gif4Pd,I Think He Knows,173386,0.897,0.366,0,-8.029,1,0.0569,0.00889,0.000353,0.0715,0.416,100.003,2019,Lover
214nt20w5wOxJnY462klLw,Miss Americana & The Heartbreak Prince,234146,0.662,0.747,11,-6.926,0,0.0736,0.028,0.00615,0.138,0.487,150.088,2019,Lover
4y5bvROuBDPr5fuwXbIBZR,Paper Rings,222400,0.811,0.719,9,-6.553,1,0.0497,0.0129,1.36E-05,0.0742,0.865,103.979,2019,Lover
12M5uqx0ZuwkpLp5rJim1a,Cornelia Street,287266,0.824,0.624,0,-9.728,1,0.0827,0.781,0.000189,0.1,0.248,102.012,2019,Lover
2dgFqt3w9xIQRjhPtwNk3D,Death By A Thousand Cuts,198533,0.712,0.732,4,-6.754,1,0.0629,0.454,0,0.319,0.313,94.071,2019,Lover
1LLXZFeAHK9R4xUramtUKw,London Boy,190240,0.695,0.71,1,-6.639,1,0.05,0.0246,0.000104,0.133,0.557,157.925,2019,Lover
4AYtqFyFbX0Xkc2wtcygTr,Soon You’ll Get Better (feat. The Chicks),201586,0.433,0.182,0,-12.566,1,0.0641,0.907,0,0.123,0.421,207.476,2019,Lover
5hQSXkFgbxjZo9uCwd11so,False God,200306,0.739,0.32,11,-10.862,0,0.239,0.736,0.000147,0.111,0.351,79.97,2019,Lover
6RRNNciQGZEXnqk8SQ9yv5,You Need To Calm Down,171360,0.771,0.671,2,-5.617,1,0.0553,0.00929,0,0.0637,0.714,85.026,2019,Lover
1SymEzIT3H8UZfibCs3TYi,Afterglow,223293,0.756,0.449,9,-8.746,1,0.0344,0.13,0,0.114,0.399,111.011,2019,Lover
2Rk4JlNc2TPmZe2af99d45,ME! (feat. Brendon Urie of Panic! At The Disco),193000,0.61,0.83,0,-4.105,1,0.0571,0.033,0,0.118,0.728,182.162,2019,Lover
1SmiQ65iSAbPto6gPFlBYm,It’s Nice To Have A Friend,150440,0.737,0.175,10,-9.912,1,0.0401,0.971,0.000337,0.171,0.545,70.008,2019,Lover
1fzAuUVbzlhZ1lJAx9PtY6,Daylight,293453,0.557,0.496,0,-9.602,1,0.0563,0.808,0.000173,0.0772,0.265,149.983,2019,Lover
4pfrrhvplbJZAIsfosGWQP,the 1,210240,0.78,0.361,0,-6.942,1,0.048,0.75,7.14E-06,0.108,0.163,139.902,2020,Folklore
0KRYCBwIpWYFNrXOmXbyUh,cardigan,239560,0.612,0.58,0,-8.572,0,0.0419,0.525,0.000414,0.26,0.534,130.045,2020,Folklore
2olxzvoFI9IpxqFeUv7WOX,the last great american dynasty,231000,0.688,0.653,7,-8.558,1,0.0403,0.481,0.00414,0.106,0.701,147.991,2020,Folklore
5S4aYQAJOwJMAamANWlICO,exile (feat. Bon Iver),285640,0.31,0.374,6,-8.464,1,0.0275,0.761,2.46E-05,0.11,0.16,75.938,2020,Folklore
5P2bHCDM2tsgIaYWsZMhu5,my tears ricochet,255893,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,2020,Folklore
2I8YAEA1VmCuP1wkJHMpTw,mirrorball,208973,0.549,0.417,7,-10.064,1,0.035,0.686,1.90E-06,0.0604,0.347,110.137,2020,Folklore
76mOLcXOjOEhyY4mMF1l3r,seven,208906,0.602,0.494,4,-10.813,1,0.0277,0.888,2.59E-05,0.0902,0.374,94.955,2020,Folklore
6nK2pIKFcRc5frrZKHgsiT,august,261920,0.387,0.634,5,-9.222,1,0.0363,0.553,6.93E-05,0.0931,0.42,89.567,2020,Folklore
7cm50Lw03k6VvRauJtkyTj,this is me trying,195106,0.511,0.478,9,-9.837,1,0.0322,0.312,2.30E-05,0.147,0.408,135.882,2020,Folklore
6DrLROM5MG9bxWHeEG5elq,illicit affairs,190893,0.529,0.304,10,-10.567,1,0.0356,0.862,0,0.108,0.44,119.58,2020,Folklore
2ehRU518I0hYqMGQnk4lDY,invisible string,252880,0.651,0.459,4,-11.128,0,0.0507,0.859,6.63E-05,0.105,0.454,83.455,2020,Folklore
0RP1kqoSPkVXsKiQNhMKzV,mad woman,237266,0.593,0.7,3,-9.016,1,0.0492,0.67,6.77E-06,0.116,0.451,141.898,2020,Folklore
1EXa37LpSvi3OQ9UYQ28rD,epiphany,289746,0.317,0.254,1,-13.679,1,0.0286,0.727,0.000326,0.0867,0.103,93.933,2020,Folklore
3IhtE4fkytdrtEfV34UzkD,betty,294520,0.595,0.376,0,-8.767,1,0.0256,0.589,0,0.0989,0.476,95.946,2020,Folklore
6JlI8Ay77m4nJvZTHvfT1J,peace,234000,0.644,0.284,5,-12.879,1,0.0821,0.916,1.50E-05,0.0909,0.328,150.072,2020,Folklore
0YeDG5HnKnG7jpArkzsSPa,hoax,220040,0.676,0.178,8,-15.01,1,0.0394,0.964,7.90E-06,0.135,0.404,118.84,2020,Folklore
0eFQWVz0qIxDOvhLpZ40P7,the lakes - bonus track,211813,0.313,0.258,2,-11.532,1,0.0383,0.842,1.30E-06,0.0948,0.268,179.947,2020,Folklore
2gVhfX2Gy1T9kDuS9azrF7,willow,214706,0.392,0.574,7,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112,2020,Evermore
1gcyHQpBQ1lfXGdhZmWrHP,champagne problems,244000,0.462,0.24,0,-12.077,1,0.0377,0.92,0,0.113,0.32,171.319,2020,Evermore
3Dby3p1m6IOZn2gIIqECgK,gold rush,185320,0.512,0.462,9,-10.491,1,0.0408,0.83,0.166,0.121,0.353,112.05,2020,Evermore
6sQckd3Z8NPxVVKUnavY1F,‘tis the damn season,229840,0.575,0.434,5,-8.193,1,0.0312,0.735,6.59E-05,0.105,0.348,145.916,2020,Evermore
6lCvK2AR2uOKkVFCVlAzzm,tolerate it,245440,0.316,0.361,9,-10.381,1,0.0488,0.878,2.67E-05,0.0797,0.221,74.952,2020,Evermore
6uwfVkaOM1mcMkFmSn35ix,"no body, no crime (feat. HAIM)",215626,0.546,0.613,7,-7.589,0,0.0264,0.418,0,0.103,0.535,79.015,2020,Evermore
55Vf4bimc1Rtfg0PAQRAo2,happiness,315146,0.559,0.334,11,-10.733,1,0.0376,0.87,0,0.114,0.211,122.079,2020,Evermore
66tOfHVH3aUrscg8vExRV4,dorothea,225880,0.605,0.488,4,-8.322,1,0.0264,0.696,0,0.129,0.354,119.966,2020,Evermore
2awNGIJHodfLZSClB3PYhz,coney island (feat. The National),275320,0.537,0.537,8,-11.266,1,0.0617,0.819,0.000904,0.142,0.292,107.895,2020,Evermore
43Ykum9T72UOPhBN31grpN,ivy,260440,0.515,0.545,2,-9.277,1,0.0353,0.855,1.97E-05,0.0921,0.535,88.856,2020,Evermore
52OkpDsU6MmPx1AwGOb6Ap,cowboy like me,275040,0.604,0.517,0,-9.014,1,0.0347,0.768,0.000155,0.123,0.511,127.967,2020,Evermore
5VYWxXUpxuxEmCqMLDqICo,long story short,215920,0.546,0.73,0,-7.704,1,0.0417,0.66,0.179,0.0972,0.573,157.895,2020,Evermore
5uICWmZTLkpEVbK22PBP6e,marjorie,257773,0.535,0.561,5,-11.609,1,0.0484,0.876,0.000136,0.115,0.287,96.103,2020,Evermore
6a8aUhYbaQBUI8PcJ5ZmQ6,closure,180653,0.689,0.704,9,-10.813,1,0.245,0.835,4.83E-06,0.134,0.92,151.884,2020,Evermore
6Wlq9rqkxrqj5Kls4Kw14H,evermore (feat. Bon Iver),304106,0.39,0.27,1,-10.673,1,0.0308,0.937,0.00227,0.111,0.32,125.177,2020,Evermore
3zwMVvkBe2qIKDObWgXw4N,right where you left me - bonus track,245026,0.581,0.619,10,-6.524,1,0.0282,0.769,0.000106,0.117,0.645,137.915,2020,Evermore
1kdWw77ZpYOkhxeuhzU1j6,it’s time to go - bonus track,254640,0.592,0.41,0,-12.426,1,0.0397,0.801,1.39E-05,0.09,0.416,151.923,2020,Evermore
